10Jun2017 06:00,39190.3125
11Jun2017 06:00,38618.3789062
12Jun2017 06:00,37160.3867188
13Jun2017 06:00,35086.28125
14Jun2017 06:00,32873.4570312
15Jun2017 06:00,30975.1484375
16Jun2017 06:00,29665.765625
17Jun2017 06:00,29189.4257812
18Jun2017 06:00,29592.1386719
19Jun2017 06:00,30111.7480469
20Jun2017 06:00,30638.3476562
21Jun2017 06:00,32007.2421875
22Jun2017 06:00,33903.6640625
23Jun2017 06:00,36478.7304688
24Jun2017 06:00,40096.5742188
25Jun2017 06:00,43836.8554688
26Jun2017 06:00,46253.1835938
27Jun2017 06:00,46660.8398438
28Jun2017 06:00,45456.109375
29Jun2017 06:00,44587.65625
30Jun2017 06:00,44974.6210938
01Jul2017 06:00,46603.15625
02Jul2017 06:00,49286.4140625
03Jul2017 06:00,52056.0898438
04Jul2017 06:00,54293.0351562
05Jul2017 06:00,56113.828125
06Jul2017 06:00,58214.0078125
07Jul2017 06:00,60396.2421875
08Jul2017 06:00,61987.0820312
09Jul2017 06:00,62267.4648438
10Jul2017 06:00,61617.484375
11Jul2017 06:00,61362.8125
12Jul2017 06:00,62555.8828125
13Jul2017 06:00,66266.6640625
14Jul2017 06:00,71228.6796875
15Jul2017 06:00,75541.5078125
16Jul2017 06:00,77195.1640625
17Jul2017 06:00,76065.3203125
18Jul2017 06:00,73179.703125
19Jul2017 06:00,69206.09375
20Jul2017 06:00,64677.6875
21Jul2017 06:00,60022.5898438
22Jul2017 06:00,55914.8476562
23Jul2017 06:00,53062.4375
24Jul2017 06:00,51076.9492188
25Jul2017 06:00,49734.046875
26Jul2017 06:00,49352.2382812
27Jul2017 06:00,49025.1054688
28Jul2017 06:00,47864.0390625
29Jul2017 06:00,45978.4921875
30Jul2017 06:00,43984.90625
31Jul2017 06:00,42418.109375
01Aug2017 06:00,41127.8476562
02Aug2017 06:00,39421.3984375
03Aug2017 06:00,37647.3515625
04Aug2017 06:00,36396.1679688
05Aug2017 06:00,35922.7773438
06Aug2017 06:00,36006.5859375
07Aug2017 06:00,36576.3476562
08Aug2017 06:00,37659.7148438
09Aug2017 06:00,38677.1484375
10Aug2017 06:00,39726.0664062
11Aug2017 06:00,41213.3945312
12Aug2017 06:00,44204.0859375
13Aug2017 06:00,49289.453125
14Aug2017 06:00,56545.390625
15Aug2017 06:00,65659.2890625
16Aug2017 06:00,74688.171875
17Aug2017 06:00,80486.09375
18Aug2017 06:00,82382.0859375
19Aug2017 06:00,81045.4453125
20Aug2017 06:00,77379.4140625
21Aug2017 06:00,72517.5390625
22Aug2017 06:00,67366.2265625
23Aug2017 06:00,62452.8515625
24Aug2017 06:00,57988.640625
25Aug2017 06:00,53970.8632812
26Aug2017 06:00,49950.0117188
27Aug2017 06:00,46414.1445312
28Aug2017 06:00,44106.7304688
29Aug2017 06:00,43191.9023438
30Aug2017 06:00,42927.3828125
31Aug2017 06:00,42127.625
01Sep2017 06:00,40354.0273438
02Sep2017 06:00,37982.3359375
03Sep2017 06:00,36016.8359375
04Sep2017 06:00,34679.8359375
05Sep2017 06:00,33814.734375
06Sep2017 06:00,33161.296875
07Sep2017 06:00,32681.7480469
08Sep2017 06:00,32956.0273438
09Sep2017 06:00,34082.6210938
10Sep2017 06:00,36297.7617188
11Sep2017 06:00,39404.6484375
12Sep2017 06:00,43259.796875
13Sep2017 06:00,47705.375
14Sep2017 06:00,52196.0546875
15Sep2017 06:00,55894.9804688
16Sep2017 06:00,58083.8671875
17Sep2017 06:00,58787.6210938
18Sep2017 06:00,57790.640625
19Sep2017 06:00,55758.4257812
