DATE,SIM,OBS
05/06/2008,30492.44335,19742.2
06/06/2008,30741.00542,21239.2
07/06/2008,30685.26749,21373.2
08/06/2008,30381.92956,21306.1
09/06/2008,30410.89163,20383.1
10/06/2008,30389.45369,20060.8
11/06/2008,30099.01576,19615.9
12/06/2008,29937.07783,19996.8
13/06/2008,29959.6399,20775
14/06/2008,30390.90197,21507.9
15/06/2008,31803.96404,23031.2
16/06/2008,34638.12373,25617.9
17/06/2008,37987.65906,28248.9
18/06/2008,40775.59438,30110.9
19/06/2008,42803.42971,30986.8
20/06/2008,44054.26504,32244.7
21/06/2008,44939.10037,32519.1
22/06/2008,45894.03569,33259.3
23/06/2008,46559.67102,31791.2
24/06/2008,47304.70635,31611.1
25/06/2008,48211.64168,31881.5
26/06/2008,48821.277,32244.7
27/06/2008,48705.51233,32427.5
28/06/2008,47647.24766,32980.3
29/06/2008,46560.68299,33166.1
30/06/2008,46284.71832,33540.1
01/07/2008,47265.55364,33073.1
02/07/2008,48932.08897,34873.8
03/07/2008,50514.3243,34202.1
04/07/2008,51197.48088,34202.1
05/07/2008,50561.79716,34680.9
06/07/2008,48913.11344,34393.1
07/07/2008,47062.92972,34777.3
08/07/2008,45696.846,37519.3
09/07/2008,45359.36228,39278.1
10/07/2008,45816.97856,41727.6
11/07/2008,46279.09484,42200.5
12/07/2008,46531.11112,38684.5
13/07/2008,46435.6274,36664.4
14/07/2008,45989.14368,34393.1
15/07/2008,45176.35996,35067.5
16/07/2008,44021.67624,35164.7
17/07/2008,43280.29252,38098.3
18/07/2008,42953.1088,40641
19/07/2008,42908.22508,41727.6
20/07/2008,42790.54136,42042.4
21/07/2008,42681.65764,43321
22/07/2008,43022.27392,43808.6
23/07/2008,43641.1902,47349.2
24/07/2008,44075.9878,50201.1
25/07/2008,44239.5174,50201.1
26/07/2008,45058.047,48049.4
27/07/2008,46563.9766,48402.7
28/07/2008,47911.60619,49655.9
29/07/2008,48357.53579,48936.6
30/07/2008,47917.06539,48049.4
31/07/2008,47046.79499,45635.1
01/08/2008,45945.12459,43321
02/08/2008,44809.15419,43321
03/08/2008,43751.28379,41884.8
04/08/2008,43193.61338,42518.2
05/08/2008,43093.54298,41414.8
06/08/2008,42934.37258,40949.1
07/08/2008,42092.70218,40794.8
08/08/2008,40918.33178,39879.2
09/08/2008,39618.06138,39577.7
10/08/2008,38492.19098,39129
11/08/2008,37603.72058,38684.5
12/08/2008,37172.65017,38684.5
13/08/2008,37345.67977,39427.7
14/08/2008,38100.70937,40949.1
15/08/2008,39121.03897,40949.1
16/08/2008,39748.48148,39879.2
17/08/2008,39527.79527,39427.7
18/08/2008,39305.60906,41727.6
19/08/2008,39915.02284,45298.5
20/08/2008,41366.93663,47002.2
21/08/2008,43331.85042,48936.6
22/08/2008,45435.76421,52053.8
23/08/2008,47650.47799,52053.8
24/08/2008,49711.99178,49837.1
25/08/2008,50849.20557,48402.7
26/08/2008,51189.51936,46829.5
27/08/2008,50430.03314,46657.3
28/08/2008,48597.04693,47523.4
29/08/2008,45892.96072,49837.1
30/08/2008,43198.17451,51120.6
31/08/2008,41262.8883,54741.2
01/09/2008,40643.90208,56729.5
02/09/2008,41122.91587,56327.2
03/09/2008,41698.12966,54350.5
04/09/2008,42263.34345,54156
05/09/2008,43353.05723,56729.5
06/09/2008,44276.41405,57950.6
07/09/2008,44842.85644,59193.1
08/09/2008,45188.79882,56931.6
09/09/2008,45180.14121,53768.7
10/09/2008,44524.9836,50935.6
11/09/2008,42873.32598,48049.4
12/09/2008,40336.86837,45298.5
13/09/2008,37228.81076,42200.5
14/09/2008,33903.65314,38832.2
15/09/2008,30696.59553,34970.6
16/09/2008,27873.63792,34012
17/09/2008,25622.0803,33166.1
18/09/2008,23839.92269,31611.1
19/09/2008,22498.16507,30024.4
20/09/2008,21431.90746,29000
21/09/2008,20656.04985,27270
22/09/2008,20147.29223,26631.6
23/09/2008,19889.98752,26316.6
24/09/2008,19808.88233,25849.2
25/09/2008,19969.27715,25541.1
26/09/2008,20322.97196,24782.8
27/09/2008,20574.66677,24558.6
28/09/2008,20513.76159,24114.8
29/09/2008,20205.6564,23895.1
30/09/2008,19881.95122,23822.2
01/10/2008,19784.84603,23532.2
02/10/2008,19873.04084,23244.9
03/10/2008,19858.73566,23173.5
04/10/2008,19663.63047,22398.6
05/10/2008,19243.22528,22190.7
06/10/2008,19433.8201,22468.3
07/10/2008,20614.41491,22889.5
08/10/2008,22104.50972,22538.1
09/10/2008,23064.70454,22538.1
10/10/2008,23238.09935,22468.3
11/10/2008,22722.29417,21711.1
12/10/2008,21886.35739,21239.2
13/10/2008,20976.87858,20840.8
14/10/2008,20123.29977,20253.7
15/10/2008,19091.42096,19679
16/10/2008,17683.54216,19552.9
17/10/2008,16388.96335,19054.7
18/10/2008,15257.18454,18385.1
19/10/2008,14269.40573,17616.5
20/10/2008,13416.22692,16815.8
21/10/2008,12686.84812,16260.6
22/10/2008,12069.96931,15772.7
23/10/2008,11554.5905,15295.8
24/10/2008,11120.51169,14880.9
25/10/2008,10735.33289,14474.4
26/10/2008,10377.25408,14076.3
27/10/2008,10130.37527,13880.3
28/10/2008,10192.89646,13783.1
29/10/2008,10444.71765,13978
30/10/2008,10953.83885,14983.8
31/10/2008,12067.46004,15612.5
01/11/2008,13647.88123,15934.1
02/11/2008,15382.00242,16703.6
03/11/2008,17340.05872,18325.1
04/11/2008,18817.4011,17850.4
05/11/2008,19507.04349,16592.1
06/11/2008,19432.08588,15772.7
07/11/2008,18713.22826,14932.3
08/11/2008,17590.47065,13978
09/11/2008,16302.41304,13304.5
10/11/2008,14985.65542,12976.9
11/11/2008,13713.49781,12655.3
12/11/2008,12519.84019,12295.1
13/11/2008,11436.58258,12073.9
14/11/2008,10476.52497,11855.6
15/11/2008,9629.16735,11640.3
16/11/2008,8880.00974,11470.2
17/11/2008,8219.95213,11260.1
18/11/2008,7644.79451,11052.9
19/11/2008,7151.6369,10970.8
20/11/2008,6737.17301,10889.2
21/11/2008,6395.40728,10727.3
22/11/2008,6111.84155,10607
23/11/2008,5876.97583,10527.4
24/11/2008,5687.7101,10369.5
25/11/2008,5557.74437,10213.4
26/11/2008,5561.07864,10136
27/11/2008,5981.41291,10020.7
28/11/2008,6797.44719,9944.4
29/11/2008,7569.58146,9868.6
30/11/2008,7852.01573,9755.5
01/12/2008,7560.65,9680.7
02/12/2008,6854.28428,9569.3
03/12/2008,6200.21855,9458.9
04/12/2008,5691.05282,9313.1
05/12/2008,5311.16561,9240.8
06/12/2008,5023.50341,9169
07/12/2008,4802.14121,9026.5
08/12/2008,4628.07901,8991.2
09/12/2008,4485.31681,8920.8
10/12/2008,4362.05461,8816
11/12/2008,4250.79241,8781.2
12/12/2008,4147.43021,8712
13/12/2008,4049.96801,8677.6
14/12/2008,3957.80581,8609
15/12/2008,3870.94361,8540.9
16/12/2008,3788.8814,8439.4
17/12/2008,3711.1192,8372.2
18/12/2008,3636.957,8305.5
19/12/2008,3565.6948,8239.1
20/12/2008,3496.4326,8173.1
21/12/2008,3428.7704,8107.6
22/12/2008,3363.97091,8042.4
23/12/2008,3309.66938,8009.9
24/12/2008,3255.86785,7945.3
25/12/2008,3202.46631,7881.1
26/12/2008,3149.36478,7817.3
27/12/2008,3096.56324,7753.8
28/12/2008,3043.86171,7690.8
29/12/2008,2991.56017,7628.1
30/12/2008,2940.05864,7596.9
31/12/2008,2889.9571,7565.8
01/01/2009,2251.29065,7503.9
02/01/2009,2256.79065,7442.4
03/01/2009,2263.59065,7381.2
04/01/2009,2272.49065,7320.4
05/01/2009,2284.73178,7290.1
06/01/2009,2302.71039,7260
07/01/2009,2322.689,7199.9
08/01/2009,2342.26761,7140.3
09/01/2009,2358.34622,7080.9
10/01/2009,2369.42483,7051.4
11/01/2009,2376.30344,7022
12/01/2009,2380.08205,6992.7
13/01/2009,2380.66066,6934.3
14/01/2009,2376.93927,6876.2
15/01/2009,2369.11788,6818.6
16/01/2009,2358.89649,6761.3
