Date,WL
01/01/2017,13.050000000000001
07/01/2017,12.970000000000001
08/01/2017,12.93
14/01/2017,12.75
15/01/2017,12.74
22/01/2017,12.609999999999999
23/01/2017,12.58
05/02/2017,12.380000000000001
06/02/2017,12.359999999999999
14/02/2017,12.220000000000001
15/02/2017,12.210000000000001
07/03/2017,12.44
08/03/2017,12.41
19/03/2017,12.83
20/03/2017,12.859999999999999
27/03/2017,12.84
28/03/2017,12.81
29/03/2017,12.949999999999999
30/03/2017,12.9
31/03/2017,12.880000000000001
01/04/2017,12.85
02/04/2017,12.9
03/04/2017,12.9
04/04/2017,13.18
05/04/2017,13.5
06/04/2017,13.73
07/04/2017,13.9
10/03/2017,12.31
11/03/2017,12.289999999999999
12/03/2017,12.369999999999999
13/03/2017,12.56
14/03/2017,12.82
15/03/2017,12.98
16/03/2017,12.960000000000001
17/03/2017,12.890000000000001
18/03/2017,12.82
21/03/2017,12.960000000000001
22/03/2017,13.039999999999999
23/03/2017,13
24/03/2017,12.94
26/03/2017,12.91
08/04/2017,14.07
09/04/2017,14.33
10/04/2017,14.58
11/04/2017,14.65
12/04/2017,14.539999999999999
13/04/2017,14.380000000000001
14/04/2017,14.199999999999999
15/04/2017,14.050000000000001
16/04/2017,14.199999999999999
17/04/2017,14.380000000000001
18/04/2017,14.449999999999999
19/04/2017,14.369999999999999
20/04/2017,14.220000000000001
21/04/2017,14.09
22/04/2017,14.119999999999999
23/04/2017,14.1
24/04/2017,14.1
25/04/2017,14.119999999999999
26/04/2017,14.07
27/04/2017,14.08
28/04/2017,14.17
29/04/2017,14.31
30/04/2017,14.52
01/05/2017,14.85
02/05/2017,15.6
03/05/2017,16.129999999999999
04/05/2017,16.359999999999999
05/05/2017,16.199999999999999
06/05/2017,16.010000000000002
07/05/2017,15.91
08/05/2017,15.9
09/05/2017,15.9
10/05/2017,15.890000000000001
11/05/2017,15.82
12/05/2017,15.869999999999999
13/05/2017,15.91
14/05/2017,15.880000000000001
15/05/2017,15.84
16/05/2017,15.5
17/05/2017,15.44
18/05/2017,15.380000000000001
19/05/2017,15.33
20/05/2017,15.27
21/05/2017,15.27
22/05/2017,15.25
23/05/2017,15.289999999999999
24/05/2017,15.25
25/05/2017,15.33
26/05/2017,15.539999999999999
27/05/2017,15.859999999999999
28/05/2017,16.059999999999999
29/05/2017,16.190000000000001
30/05/2017,16.210000000000001
